一级知识点,二级知识点,三级知识点,四级知识点,五级知识点,六级知识点,七级知识点,前置知识点,后置知识点,关联知识点,知识点说明
,,,同构代数结构,,,,,,,"特性: 元素和运算性质一一对应。
；定义: 两个代数结构在抽象角度看完全相同。
"
,,,同构关系,,,,,,双射;商代数,"特性: 结构相同但元素不同的代数结构之间的关系
；定义: 同态映射下的同态像与商代数之间的具体关系；两个群之间存在双向的同态映射，即结构和运算完全相同；两个代数系统间存在双射且保持运算关系的映射；两个群之间存在双向一一对应的同态映射
；意义: 表明两个群在结构上是等价的
；实例: ⟨3,+3⟩与⟨R3,∘⟩同构，通过映射g(i)=ri实现
；性质: 若两系统同构，则一为群则另一也为群；若群⟨G1,∘⟩与⟨G2,*⟩同构，则存在同构映射φ，使得φ和φ^{-1}均为同态映射
"
,,,同构图,,,,对偶图,,,"特性: 对偶图不一定同构，不同平面表示可能得到不同对偶图。
"
,,,同构映射,,,,等价关系,,同构,"特性: 双射且保持结构不变
；用途: 证明图同构的关键
；定义: 保持代数结构结构不变的双射函数；建立两个代数结构间双射且保持运算对应性的映射；双射的同态映射；双射且保持运算结构的映射；考察和处理两个图模型之间结构等价关系的机制；使两图同构的双射函数
；作用: 建立代数结构之间的相同结构关系；判定图模型是否具有完全相同的结构性质
；条件: 存在双射函数，使运算结果对应；ψ为双射，且保运算；映射是双射且满足运算对应关系
；示例: 常用对数函数建立实数集加法和正实数集乘法的同构
；应用: 用于分析和求解图模型问题
"
,,,同胚关系,,,,,,,"用途: 判断图的等价性。
；定义: 两图可通过同胚操作相互转化的关系。
"
,,,同胚操作,,,,,结点贯通操作;边切割操作,同胚关系,"特性: 边切割和结点贯通是互逆操作。
；定义: 对图进行边切割或结点贯通的操作。
"
,,,后根遍历算法,,,,递归,,,"定义: 首先递归访问根的左子树，然后递归访问根的右子树，最后递归访问根结点的遍历方法。
；特点: 递归方式实现。
；应用: 用于二元树的遍历。
"
,,,后继数,,,,,,,"特性: 每个自然数都有一个唯一的后继数。
；定义: 自然数的直接后继。
；关联: 皮亚诺公理中的关键概念。
"
,,,后继结点,,,,,,,"特性: 至多只有一个非空子结点。
；用途: 在删除操作中替换被删除结点。
；定义: 在二叉搜索树中，某结点的后继是比该结点大的最小结点。
"
,,,否定式,,,,,复合命题,,"特性: 真值与原命题完全相反。
；记法: 记作 ¬P，其中 ¬ 为否定联结词。
；定义: 对命题取反得到的复合命题。
"
,,,否定联结词,,,,,非运算,,"特性: 其真值与原命题相反。
；定义: 用于对命题进行否定的逻辑联结词。
；符号: ¬
"
,,,含变量的语句,,,,命题函数,,,"特性: 变量未赋值时，真值不确定，不是命题。
；条件: 变量赋值后，成为具有确定真值的命题。
"
,,,含幺交换环,,,,环代数结构,,,"特性: 乘法有单位元且交换。
；定义: 环中乘法是含幺交换半群的环。
"
,,,含幺半群结构,,,,,,,"用途: 为基础引入逆运算构成群结构。
；定义: 具有单位元的半群结构。
"
,,,含幺环,,,,环代数结构,,,"定义: 乘法有单位元的环。
；条件: ⟨G,+×⟩中⟨G,×⟩为含幺半群。
"
,,,吸收律,,,,,,,"用途: 简化命题公式的等值演算过程。
；定义: 对于任意两个集合A和B，有A∪(A∩B)=A和A∩(A∪B)=A；两个二元运算相互吸收的性质；运算满足$a*(a+b) = a$和$a+(a*b) = a$的性质；一种二元算律，描述运算的吸收性质；运算满足a∨(a∧b)=a和a∧(a∨b)=a；运算满足a*(a⊕b)=a和a⊕(a*b)=a的性质；一个元素与另一个元素和其自身的运算结果相等的性质；G∨(G∧H)⇔G 和 G∧(G∨H)⇔G 的等值关系。
；适用: 代数格中的二元运算
；条件: 对于所有x,y∈A，x*(yΔz)=x且xΔ(y*z)=x。
；例子: 幂集上的交运算对并运算满足吸收律。
；应用: 用于集合运算的基本性质；同构和同态映射中保持的性质之一；用于代数结构的分类和性质研究；用于格的运算性质中；布尔代数中二元运算的基本性质之一。
"
,,,周期,,,,,,,"定义: 群中元素a的最小正整数n，使得a^n=e。
；性质: 有限群的每个元素都有有限周期。
；应用: 用于研究群中元素的循环性质。
"
,,,命题公式永真蕴含关系,,,,,,,"用途: 判定命题推理的有效性。
"
,,,命题公式演算,,,,联结词的完备集,,,"目的: 使用联结词完备集方便进行演算。
；基础: 涉及一元和二元联结词。
"
,,,命题变量,,,,,,命题常量,"特性: 真值取值不确定，不能看成具体命题；可取真(T)或假(F)两种真值。
；定义: 表示任意抽象命题的标识符；无确定真值的抽象命题符号；谓词中的变量，表示个体对象。
；分类: 自由变量和约束变量。
"
,,,命题常量,,,,,,,"特性: 内容和真值确定。
；定义: 表示特定内容的具体命题的标识符。
"
,,,命题推演系统,,,,,,,"用途: 用于进行命题逻辑推理。
；组成: 包括命题推理的基本概念、永真蕴含关系与判定等。
；定义: 由命题逻辑构成的推理系统。
"
,,,命题推证,,,,,真值表法;间接证明法;直接证明法;真值表法,基本策略,"策略: 主要有真值表法、直接证明法和间接证明法；包括真值表法等基本方法
；方法: 直接证明法：利用P规则和T规则进行证明。
；关键: 熟记常用的推理规则。
；定义: 证明命题逻辑蕴含式的过程；使用逻辑规则证明命题的过程
"
,,,命题推证基本策略,,,,,,,"用途: 帮助有效进行命题推演。
；定义: 在命题逻辑推理中采用的基本方法。
；内容: 涵盖命题推理的基本概念和推演策略。
"
,,,命题的符号化与应用,,,,,,,"用途: 简化逻辑推理，应用于形式逻辑分析。
；定义: 将命题用符号表示并进行逻辑运算的过程。
"
,,,命题联结词,,,,,等价;蕴涵;否定,析取;合取,"种类: 包括否定、合取、析取、蕴涵、等价。
；作用: 构成不同命题运算。
"
,,,命题运算,,,,,等价;蕴涵;否定,析取;合取,"定义: 通过命题联结词构成的复合命题运算。
；作用: 用数学符号表示复杂复合命题。
"
,,,哈密顿图模型,,,,,,,"特性: 复杂度高，常用于近似算法。
；用途: 求解最优路线问题。
；定义: 图中每个节点访问一次并返回起点的回路。
"
,,,商,,,,,,,"定义: 整数除法中的结果部分。
；性质: 唯一确定。
"
,,,商代数,,,,同余关系,,,"关系: 与原代数结构存在自然同态关系。
；用途: 研究代数结构的基本方法论之一
；定义: 通过等价关系划分集合，定义商集上的运算，形成的代数结构；由代数结构及其同余关系构造的代数。
；应用: 研究代数结构的简化模型。
"
,,,商域,,,,,,,"关系: 与域结构类似，存在相关概念和理论。
；定义: 域的商集，自身也是域。
"
,,,商集,,,,,,,"特性: 由等价关系产生，构成集合的一个划分
；用途: 用于表示集合元素按等价关系划分的结果
；定义: 由集合的所有等价类构成的集合；集合关于等价关系的所有等价类组成的集族；集合A在等价关系R上的商集，表示A的元素按R划分的等价类集合
；性质: 每个元素是一个等价类
；示例: 完全关系的商集是{A}，恒等关系的商集是所有单元素集合的集合
"
,,,回溯点,,,,,,,"定义: 满足回溯条件的某个状态的点。
；作用: 标记需要退回重新选择的节点。
"
,,,因变量,,,,,,,"定义: 函数关系中第二元素，即函数值。
；特点: 由自变量唯一确定。
"
,,,因子,,,,,非平凡因子;平凡因子,,"定义: 一个数的因子是能整除该数的数；若a能整除b，则a是b的因子。
；性质: 有限群的子群阶是其阶的因子。
；应用: 用于判断群的类型和性质。
；分类: 平凡因子（±1, ±n）和非平凡因子。
"
,,,图形表示法,,,,,,,"定义: 用图形表示结点和边的方法。
；特点: 形象直观，但结点和边多时不方便。
"
,,,图的性质,,,,,,,"定义: 图所具有的基本特征和规律。
；作用: 揭示图的结构和关系。
"
,,,图的连通性质,,,,,,,"用途: 判断图的连通性。
；定义: 图中节点之间连接情况的特性。
"
,,,图的遍历算法,,,,,,,"用途: 用于图的遍历和搜索。
；定义: 系统地访问图中所有节点的算法。
"
,,,圆排列数,,,,定理1.14,,,"定义: 不重复圆排列的个数。
；公式: Pc(n,r) = n! / [r(n-r)!]
"
,,,地图,,,,对偶图,,面着色,"特性: 每有限面称为一个国家，相邻国家需不同颜色。
；操作: 对图的面着色，使相邻国家颜色不同。
；定义: 连通无桥平面图及其所有有限面。
"
,,,域同态,,,,,,,"定义: 域结构中类似群同态的概念和性质。
；相关: 涉及子域、商域等概念。
；特点: 可用与群类似的思路讨论。
"
,,,基本回路,,,,,平行边,简单回路,"特性: 必定是简单回路
；规则: 平行边总权值不大于回路权值一半
；定义: 起点等于终点，且除起点和终点外，所有结点各异的回路；图中结点v到自身的回路，长度不大于n；在无回路图中增加一条边形成的唯一回路
；优化: 调整平行边，保证权值最小
；条件: 图中存在从v到v的回路
"
,,,基本永真蕴含关系,,,,,,,"定义: 已证明为正确的永真蕴含关系式。
；作用: 作为简化演算的工具。
；示例: 包括基本化简律、基本附加律等。
"
,,,基本策略,,,,,,,"定义: 在命题逻辑演绎推理中采用的策略和方法。
"
,,,基本运算和操作,,,,逻辑运算,数据操作,关系运算;算术运算,"定义: 算法实现中的基本操作和运算。
；分类: 算术、关系、逻辑、数据操作。
"
,,,基本通路,,,,,,基本回路;简单通路;基本回路,"特性: 必定是简单通路
；定义: 除起点和终点外，所有结点各异的通路；图中两个不同结点之间存在的一条长度不大于n-1的通路；任意两结点之间的唯一通路
；条件: 图中存在从u到v的通路
"
,,,基础部分,,,,,,,"作用: 确定集合中最基本的元素。
；结果: 保证集合为非空，确定初始元素。
"
,,,增益流,,,,,,,"定义: 一种考虑增益因素的网络流模型。
；应用: 应用于通讯、运输等领域。
"
,,,处理机制,,,,,,,"定义: 实现对数学结构载体中元素处理的机制。
；示例: 偏序结构的次序关系，代数结构的运算。
"
,,,处理规则,,,,,公理,,"定义: 对处理机制进行必要限制的规则。
；作用: 确保数学结构的合理性和实用性。
；示例: 偏序结构的自反性、反对称性和传递性。
"
,,,复合关系,,,,,后域;前域,,"表示: R∘S=⟨x,z⟩|x∈A∧z∈C∧(∃y)(y∈B∧x R y∧y S z)。
；定义: 由两个关系R和S通过复合运算形成的新关系。
；条件: R的后域是S的前域时，R和S可复合。
"
,,,复合函数,,,,满射;单射;定义域,,双射;值域;结合律,"表示: 记为$f\circ g\colon A	o C$。
；定义: 两个函数的复合关系形成的函数。
；性质: 保持单射、满射和双射性质。
"
,,,复杂回路,,,,,,,"特性: 可能包含重复结点。
；定义: 含有重复边且起点等于终点的回路。
"
,,,复杂通路,,,,,,复杂回路,"特性: 可能包含重复结点。
；定义: 含有重复边的通路。
"
,,,多元关系,,,,,,,"用途: 考察集合中元素之间的特定关系。
；定义: 描述集合上元素之间多元关系的数学概念。
"
,,,多元谓词,,,,二维表,,,"用途: 表示关系表的数据结构。
；定义: 用于表示二维表的谓词，个体变元为表属性，元组为使谓词为真的赋值。
"
,,,多元运算,,,,,多元函数,关系数据库;二元运算,"定义: 从$A_{1}	imes A_{2}	imes\cdots	imes A_{n}$到$A$的映射，特别地，当$A_{1}=A_{2}=\cdots=A_{n}=A$时，为$A$上的$n$元运算。
；性质: 是二元运算的自然推广。
；应用: 关系数据库的多元关系演算等领域。
"
,,,多商品流,,,,,,,"定义: 涉及多种商品的网络流模型。
；应用: 应用于任务分派、设备更新等领域。
"
,,,多源最短路径算法,,,,,,,"用途: 解决图中的多源点最短路径问题。
；定义: 用于计算图中多个源点到其他所有点的最短路径的算法。
；特点: 高效处理多源点路径计算。
"
,,,多终端流,,,,,,,"定义: 涉及多个终端的网络流模型。
；应用: 应用于电力、工程规划等领域。
"
,,,多重图,,,,,,,"定义: 含平行边的图。
；特点: 两结点间有多条同始同终边。
；分类: 根据平行边划分。
"
,,,多重闭包,,,,,,,"定义: 对二元关系的闭包进一步做不同闭包得到的闭包。
；定理: 包括rs(R)=sr(R), rt(R)=tr(R), st(R)⊆ts(R)等性质。
；性质: 如自反闭包基础上做对称闭包或传递闭包等。
"
,,,大O符号,,,,,,,"用途: 表示算法的时间复杂度。
；定义: 描述函数增长速度的符号。
"
,,,大整数素因子分解,,,,,,,"定义: 将大整数分解为素因子的过程
；难度: 计算上非常困难
；应用: RSA算法安全性的关键
"
,,,大项,,,,,永假式;命题变元;析取式,永真式,"特性: 变量以一定方式出现一次且仅出现一次。
；关系: 与小项存在互补关系。
；定义: 含有n个命题变元的析取式，每个变元与其否定不同时出现，但必出现一次；在真值表中，使命题公式为假的命题变元的合取式；真值表中某行解释所对应的项；命题公式中的最大项。
；作用: 用于构造主合取范式。
；结论: 任意两个不同大项的析取式为永真式，全体大项的合取式为永假式。
"
,,,奇度数结点,,,,,重复边,,"定义: 度数为奇数的结点；度数为奇数的图结点。
；作用: 影响图是否为欧拉图的关键因素。
；条件: 半欧拉图恰有2个奇度数结点。
"
,,,子半群,,,,半群,,,"定义: 半群的非空子集，运算封闭；半群的子集在原运算下构成的半群。
；条件: 运算对子集封闭；子集在原运算下封闭且满足结合律。
；性质: 是原半群的子结构。
"
,,,子含幺半群,,,,含幺半群,,,"定义: 含幺半群的非空子集，运算封闭；含幺半群的子集在原运算下构成的含幺半群。
；条件: 运算对子集封闭，包含幺元；子集包含单位元且在原运算下封闭。
；性质: 是原含幺半群的子结构。
"
,,,子图,,,,,导出子图;生成子图;真子图,,"定义: 若$V'\subseteq V$且$E'\subseteq E$，则$G'$是$G$的子图。
；类型: 包括真子图和生成子图。
"
,,,子图运算,,,,,,,"对象: 图的子图。
；类型: 图的基本运算之一。
"
,,,子域,,,,,,,"关系: 与域结构类似，存在相关概念和理论。
；定义: 域的子集，自身也是域。
"
,,,子树,,,,,,,"特性: 可以是树的子集，本身也是一棵树。
；定义: 树中任一结点及其所有后代导出的子图。
"
,,,子问题,,,,,,,"作用: 递归和分治的基础单元。
；特点: 规模小于原问题，类型相同。
"
,,,子问题重叠性质,,,,,,,"定义: 递归求解时子问题重复出现。
；作用: 动态规划避免重复计算的基础。
"
,,,子集,,,,二进制表示,m元子集,自然数集;真子集,"特性: 若B是A的子集，则B的元素都在A中；可以是无限集的子集。
；等价: A=B当且仅当χA(x)=χB(x)。
；用途: 用于刻画或度量无限集。
；关系: A⊆B当且仅当χA(x)≤χB(x)。
；表示: 对应一个长度为n的比特串，元素存在位为1，否则为0。
；定义: 若B包含于A，则B是A的子集；集合A的元素全部属于集合B，则A是B的子集；一个集合的所有元素都是另一个集合的元素；集合A中的任意元素构成的集合；从集合中选取部分元素构成的集合；全集的一部分，包含部分元素；集合U的一部分。
；性质: 包含关系；有对应的特征函数。
；相关: 空集是所有集合的子集。
；符号: 用'B⊆A'表示。
；示例: 如A={a}是U={a,b,c}的子集。
；应用: 用于描述集合间的包含关系。
"
,,,子集像,,,,函数,,,"定义: 子集 A1 在函数 f 下的像，即 f(A1)。
；性质: f(A1) ⊆ B。
"
,,,存在量化,,,,,,,"含义: 变量x个体域中至少存在一个个体…
；记法: ∃x P(x)
；定义: 谓词中变量在其个体域内至少一个赋值使谓词为真。
"
,,,完全二分图,,,,,,,"记法: K_{i,j}，其中|X|=i，|Y|=j。
；定义: 二分图中X中每个结点与Y中每个结点有且仅有一边联结。
"
,,,完全关系,,,,,关系矩阵,商集,"特性: 给出集合的最粗略划分。
；定义: 含有全部序偶的关系；集合上任意两元素都相关的等价关系。
；商集: 商集为{A}，即整个集合作为一个划分块。
；特点: 关系图所有结点互联，关系矩阵元素全为1
"
,,,完全原像,,,,函数,,,"定义: 集合 B1 在函数 f 下的完全原像，即 f^(-1)(B1)。
；性质: f^(-1)(B1) ⊆ A。
"
,,,完全图,,,,,零图,点割集;补图,"特性: 无向完全图的边数为n(n-1)/2，有向完全图的边数为n(n-1)；无点割集，删除任意顶点后仍连通。
；定义: 任意两结点间都有边相连的图。
；条件: 所有顶点间均有边相连。
"
,,,定义12.14,,,,,,变换,"意义: 引入一一变换的概念。
；内容: 集合上的双射函数称为一一变换。
；应用: 研究集合上的对称性和变换性质。
"
,,,定义12.15,,,,,,变换乘法,"性质: 若$f$和$g$都是$𝐴$上的一一变换，则$f\circ g$也是$𝐴$上的一一变换。
；描述: 设$f,g$是𝐴上的变换，$f$和$g$的复合称为$f$与$g$的乘积，记作$f\circ g$。
"
,,,定义12.16,,,,变换群,,,"特例: 当$𝐴$是有限集合时，称变换群$\langle E(A),\circangle$为对称群，对称群的任何一个子群称为置换群。
；描述: 假设$𝐴$是任意给定的一个非空集合，$E(A)$是𝐴上的全体一一变换构成的集合，则$E(A)$与其上一一变换的乘法运算∘构成的群$\langle E(A),\circangle$称为变换群。
"
,,,定理10.19,,,,,点色数,,"内容: 关于无向图点色数的若干结论，包括零图、完全图、回路、树等情形。
；应用: 用于确定不同类型图的点色数。
"
,,,定理12.35,,,,,,链,"用途: 说明链结构的分配性质。
；内容: 任意一条链都是分配格。
"
,,,定理12.36,,,,,,消去律,"适用: 分配格
；结论: b=c
；条件: a*b=a*c且a⊕b=a⊕c
"
,,,定理2.3,,,,最大公因数,,,"意义: 描述最大公因数与最小公倍数的乘积关系。
；内容: a*b=(a,b)*[a,b]
"
,,,定理2.4,,,,,最小公倍数,,"意义: 描述最小公倍数的整除性质。
；内容: 若a和b都能整除k，则lcm(a,b)也能整除k。
"
,,,定理5.5,,,,,恒等关系,,"结论: (R∘S)∘T=R∘(S∘T); I_A∘R=R∘I_B=R
；内容: 关系复合的结合性和恒等关系的性质。
"
,,,定理5.6,,,,,半分配律,分配律,"结论: R∘(S_1∪S_2)=(R∘S_1)∪(R∘S_2); R∘(S_1∩S_2)⊆(R∘S_1)∩(R∘S_2); (S_1∪S_2)∘T=(S_1∘T)∪(S_2∘T); (S_1∩S_2)∘T⊆(S_1∘T)∩(S_2∘T)
；内容: 关系复合对并交运算的分配性质。
"
,,,定理9.7,,,,,,,"来源: 霍夫曼算法的理论基础。
；描述: 带有权值的二元最优树中，权最小的两个叶结点是兄弟，合并其父结点后仍为最优树。
；应用: 构造最优树的基本思路。
"
,,,容量限制,,,,,,,"定义: 边流量不能超过其容量；边的流量不能超过其容量。
；作用: 确保网络流模型的可行性；确保流的有效性。
；应用: 网络流图中的边。
"
,,,对偶式,,,,,,,"特性: 与原公式具有对等性质。
；用途: 证明格是分配格时只需证明其中一个等式；用于命题公式的等值演算和性质分析。
；定义: 两个相互对偶的等式；将命题公式中的逻辑运算符进行对偶变换得到的公式；将公式中'∧'换'∨'、'∨'换'∧'、'T'换'F'、'F'换'T'得到的新公式。
"
,,,对称关系,,,,,对称矩阵;关系图,,"特性: 关系图中任何一对结点之间要么有方向相反的两条边，要么无任何边。
；矩阵: 关系矩阵为对称矩阵。
；定义: 若$\langle x,yangle\in R$则有$\langle y,xangle\in R$的关系。
"
,,,对称差运算,,,,匈牙利算法,,,"定义: 由两个集合中不相同的元素构成新集合的运算；集合间的一种运算，结果为仅属于其中一个集合的元素集合。
；类型: 集合基本运算
；应用: 在匈牙利算法中用于更新匹配。
"
,,,对称差集合,,,,集合对称差运算,,,"定义: 由两个集合中彼此不同的部分构成的集合。
；运算: 通过集合对称差运算得到。
"
,,,对称性,,,,关系闭包,,,"用途: 关系问题求解中的重要性质。
；定义: 若A=B，则B=A；若集合A与B等势，则B与A等势；若a与b相关联，则b与a也相关联的性质；若两个代数系统同构，则它们互为同构；若a同余于b，则b同余于a；若A\Leftrightarrow B，则B=A；若(a, b)属于关系R，则(b, a)也属于关系R的性质；若关系中的元素a与b相关联，则b与a也相关联的性质；对任意元素x,y，若<x,y>属于R，则<y,x>也属于R；若元素x与y相关联，则y与x也相关联。
；作用: 保证等价类的双向性
；条件: 对任意整数a和b成立。
；判定: 任意元素a, b，若(a, b)属于R，则(b, a)也属于R；R=R⁻¹
；性质: 等势的基本性质之一；同构关系的性质之一；等值关系的性质之一；若R、S对称，则R⁻¹、R∪S、R∩S也对称。
；应用: 集合相等的基本性质之一；用于区分等价关系等；相容关系的必要条件之一。
"
,,,对称闭包,,,,定理5.12,关系图,,"特性: 包含原关系，满足对称性
；构造: 将所有\langle b,aangle纳入原关系；一般通过枚举方法得到
；记法: s(R)
；定义: 使关系满足对称性的最小扩充；包含原关系且具有对称性的最小关系；使关系具有对称性的最小超关系
；条件: s(R)=R时，R对称
；性质: 若R对称，r(R)和t(R)也对称
"
,,,封闭公式,,,,谓词公式,,自由变量,"特性: 在任何解释下均有确定的真值。
；定义: 不含自由变量的谓词公式；不含自由个体变量的谓词公式。
；条件: 所有命题变量都受量词约束。
"
,,,小项,,,,,永假式;命题变元;合取式,大项;永真式,"特性: 合取式中变量以一定方式出现一次且仅一次。
；用途: 用于构造主析取范式。
；关系: 与大项存在互补关系。
；定义: 含有n个命题变元的合取式，每个变元与其否定不同时出现，但必出现一次；真值表中公式真值为T的指派所对应的合取式；真值表中公式为真时对应的项；命题公式中的最小项。
；结论: 任意两个不同小项的合取式为永假式，全体小项的析取式为永真式。
"
,,,层次结构,,,,,,,"定义: 从根结点到叶子结点的逐层排列结构。
；特点: 蕴含方向性，体现树模型的层次性。
"
,,,属性谓词,,,,,,,"用途: 在符号化过程中限定个体域。
；定义: 用于限定个体变量变化范围的谓词。
"
,,,左分配律,,,,,,,"定义: 若$x*(y\Delta z)=(x*y)\Delta(x*z)$，则称运算$*$对$\Delta$在𝐴上满足左分配律。
；条件: 在二元代数结构$\langle A,\ *,\ \Deltaangle$中，对于$orall x,y,z\in A$。
；示例: 实数集合上的普通乘法对加法满足左分配律。
"
,,,左消去律,,,,,,,"定义: 若z*y=z*x则y=x的性质。
；作用: 确保运算中左边的元素可以消去。
；条件: 对于所有x,y,z∈A，z*y=z*x→y=x。
"
,,,左陪集,,,,,,右陪集,"定义: 子群在群中的左乘集合。
；性质: 陪集基数等于子群基数。
；应用: 用于群的分解和结构分析。
"
,,,差图,,,,,,,"定义: 从一个图中减去另一个图的边后剩余的图。
；条件: 顶点集不变，边集为第一个图边集减去第二个图边集。
"
,,,差运算,,,,,,,"定义: 从一个集合中去除另一个集合的元素。
；结果: 生成新的集合。
"
,,,差集,,,,,,,"等价: 等于一个集合的特征函数减去两集合交集的特征函数，即 $\chi_{A}(x)-\chi_{A\cap B}(x)$。
；表示: A-B={x|x∈A且x∉B}
；定义: 属于A但不属于B的所有元素构成的集合。
；运算: 一个集合与另一个集合补集的交集的特征函数，即 $\chi_{A-B}(x)=\chi_{A\capar{B}}(x)=\chi_{A}(x)\cdot\chi_{ar{B}}(x)$。
"
,,,布尔,,,,布尔代数,,,"定义: 英国数学家，提出布尔代数作为逻辑思维的计算法则。
；地位: 命题逻辑的重要奠基人。
；影响: 布尔代数成为电路设计和多个运算系统的理论基础。
；贡献: 初步实现莱布尼茨的逻辑梦想。
"
,,,布尔变元,,,,,,,"定义: 取值于布尔代数集合的变元。
；作用: 布尔表达式中的变量元素。
"
,,,布尔子代数,,,,,,,"定义: 布尔代数的非空子集，对运算封闭且包含0和1。
；条件: 对运算*, ⊕, -封闭且0,1∈S。
"
,,,布尔常元,,,,,,,"定义: 布尔代数中的固定元素，取值于布尔代数集合。
；作用: 构成布尔表达式的基本元素。
"
,,,布鲁克斯定理,,,,,点色数,,"内容: 若连通简单图𝐺不是完全图或奇数长度回路，则𝜒(𝐺)≤Δ(𝐺)。
；应用: 用于限制连通简单图的点色数。
"
,,,希帕索斯悖论,,,,,,,"解决: 由极限理论解决。
；定义: 导致数学危机的悖论之一。
"
,,,常用联结词,,,,,,,"用途: 构建复合命题，实现逻辑运算。
；定义: 用于连接命题的词汇。
"
,,,常量符号,,,,,,,"定义: 谓词公式中具有特定含义的符号。
；作用: 在解释中指定个体域中的特定元素。
"
,,,幂关系,,,,方幂运算,,,"定义: 关系与其自身多次复合的结果。
；运算法则: R^m ∘ R^n = R^(m+n); (R^m)^n = R^(mn)
；性质: 满足结合律，结果为同一集合上的二元关系。
"
,,,幂等元,,,,,,,"定义: 元素与其自身运算后仍等于自身的元素；与自身运算结果不变的元素；在运算中满足幂等律的元素；满足a*a=a的元素a
；条件: 存在a∈A，使得a*a=a
；例子: 幂集合中的元素对交运算和并运算都是幂等元
；特点: 存在性取决于具体运算；元素在自身运算后保持不变；在群中，单位元是唯一的幂等元
；应用: 刻画运算性质和结构
"
,,,幂等律,,,,,,幂等元,"特性: 代数格满足的性质之一；可由吸收律得到。
；定义: 存在$a$，使$a*a=a$，或所有元素满足此条件；运算满足$a*a = a$的性质；元素多次运算结果不变的性质；对于任意元素a，有a∧a=a和a∨a=a成立；运算满足a*a=a和a⊕a=a的性质；命题公式G与自身进行逻辑运算（∨或∧）后仍等于G的等值关系。
；实例: 幂集合的交运算和并运算。
；条件: 在代数系统⟨L,∧,∨⟩中成立。
；公式: G∨G⇔G，G∧G⇔G。
；描述: 集合与自身运算结果仍为自身。
；特点: 元素自运算结果不变。
；应用: 适用于并运算和交运算；同构和同态映射中保持的性质之一；用于格的运算性质中；布尔代数运算律之一。
"
,,,平凡子群,,,,,,单位元,"定义: 群$\langle G,*angle$的单位元集合$\{e\}$和群自身$\langle G,*angle$称为平凡子群。
"
,,,平衡因子,,,,,,,"定义: 结点左子树高度减右子树高度的差值。
；作用: 判断树是否平衡。
；取值: -1, 0, 1
"
,,,平衡树,,,,,,,"特性: 保持树的高度平衡。
；定义: 节点左右子树高度差最小的树。
；应用: 提高查找、插入和删除操作的效率。
"
,,,并图,,,,,不重并,,"定义: 两个图的顶点和边合集构成的图。
；条件: 顶点集和边集分别为两个图顶点集和边集的并集。
；特例: 不重并：两图无公共边时的并图。
"
,,,并运算,,,,,布尔加,,"定义: 合并两个集合的所有元素；两个子集合并的运算；将多个集合合并为一个集合的运算；集合代数中的元素并集运算；两个布尔矩阵的并运算，结果矩阵元素为任一矩阵对应元素为1时取1。
；结果: 生成新的集合。
；条件: 两个矩阵具有相同的行数和列数。
；实现: 通过二进制编码的布尔加运算实现。
；应用: 用于加法原理和容斥原理中；用于集合的并集计算。
"
,,,并集,,,,,,,"等价: 等于两个集合特征函数的最大值，即 $\chi_{A\cup B}(x)=\max\{\chi_{A}(x),\chi_{B}(x)\}$。
；运算: 特征函数的和减去交集的特征函数，即 $\chi_{A\cup B}(x)=\chi_{A}(x)+\chi_{B}(x)-\chi_{A\cap B}(x)$。
"
,,,广度优先遍历算法,,,,,,,"步骤: 从任选起点开始，逐层标记和连接结点。
；定义: 通过广度优先遍历构造生成树的算法。
；特点: 无需判断回路，计算效率高。
"
,,,度序列,,,,,,可图化序列,"用途: 描述图的结构特征。
；定义: 图中各结点度数构成的序列。
"
,,,度数,,,,,,,"特性: 同构图度数相同的结点个数相同，同构映射对应点的度相同。
；用途: 判定图同构的必要条件之一。
；定义: 结点关联边的数量。
；计算: 无向图中为关联边数，有向图中为出度与入度之和。
；性质: 满足握手定理，即所有结点度数之和等于边数的二倍。
"
,,,度结构性质,,,,,,,"定义: 图中结点与边的度数关系和约束。
；作用: 构成图模型的基本结构性质。
"
,,,开关代数,,,,,,,"特性: 二值布尔代数。
；定义: 布尔代数在开关电路中的应用形式。
"
,,,"开区间(0, 1)",,,,,,,"定义: 不可数集合的基准。
；性质: 其基数记为ℵ。
"
,,,弱连通图,,,,,,,"特性: 构成无向连通图的子图
；定义: 忽略边方向后无向图连通。
"
,,,强连通图,,,,,,,"定义: 任意两结点相互可达。
；条件: 存在经过所有结点的回路
"
,,,归纳定义,,,,,,,"用途: 用于明确命题公式的构成和性质。
；定义: 命题公式的概念及其系统化定义方式。
；作用: 确保自然数集的完整性和递推性。
；方式: 基础条款和归纳条款构造自然数集。
"
,,,归纳推理,,,,,,,"定义: 前提与结论无必然联系的推理类型。
"
,,,归纳部分,,,,,,,"过程: 集合不断扩张。
；作用: 根据已有元素构造新元素。
"
,,,归谬论,,,,,,,"用途: 用于命题公式的等值演算
；定义: (G→H)∧(G→¬H)等价于¬G
"
,,,形式化描述,,,,,,,"定义: 用数学符号对命题逻辑进行描述的方法。
；目的: 使命题逻辑能进行抽象的符号运算。
"
,,,形式证明,,,,有效推理,,,"特性: 序列中每个公式是前提或前面公式的有效结论
；组成: 命题公式的有限序列
；定义: 从前提集合推出结论的演绎过程
"
